,year,period,expenses,income
0,2008,Q1,697510.0,160000.0
1,2008,Q2,3291672.0,105000.0
2,2008,Q3,1182922.0,110000.0
3,2008,Q4,1492998.0,100000.0
4,2009,Q1,903000.0,130000.0
5,2009,Q2,689921.0,100000.0
6,2009,Q3,591667.0,100000.0
7,2009,Q4,656135.0,100000.0
8,2010,Q1,523970.0,100000.0
9,2010,Q2,601945.0,100000.0
10,2010,Q3,611260.0,100000.0
11,2010,Q4,1265300.0,100000.0
12,2011,Q1,690000.0,100000.0
13,2011,Q2,1005200.0,170000.0
14,2011,Q3,1070910.0,200000.0
15,2011,Q4,1460675.0,250000.0
16,2012,Q1,1053000.0,100000.0
17,2012,Q2,1186400.0,120000.0
18,2012,Q3,1643100.0,130000.0
19,2012,Q4,1441400.0,130000.0
20,2013,Q1,1303100.0,140000.0
21,2013,Q2,1400000.0,110000.0
22,2013,Q3,1084440.0,120000.0
23,2013,Q4,1425024.0,150000.0
24,2014,Q1,1465002.0,160000.0
25,2014,Q2,1357299.0,200000.0
26,2014,Q3,1910425.0,240000.0
27,2014,Q4,1304500.0,190000.0
28,2015,Q1,1177000.0,210000.0
29,2015,Q2,1615000.0,226250.0
30,2015,Q3,1365000.0,238750.0
31,2015,Q4,1970000.0,320000.0
32,2016,Q1,1799000.0,300000.0
33,2016,Q2,2108900.0,340000.0
34,2016,Q3,2174000.0,340000.0
35,2016,Q4,2008000.0,360000.0
36,2017,Q1,1871000.0,370000.0
37,2017,Q2,2080000.0,390000.0
38,2017,Q3,3010000.0,380000.0
39,2017,Q4,2060000.0,370000.0
40,2018,Q1,2013000.0,320000.0
41,2018,Q2,2092000.0,450000.0
42,2018,Q3,2060000.0,560000.0
43,2018,Q4,1940000.0,600000.0
44,2019,Q1,1990000.0,630000.0
45,2019,Q2,2390000.0,680000.0
46,2019,Q3,2125000.0,680000.0
47,2019,Q4,2411000.0,640000.0
48,2020,Q1,2280000.0,560000.0
49,2020,Q2,2620000.0,610000.0
50,2020,Q3,2640000.0,637059.2
51,2020,Q4,2400000.0,662500.0
52,2021,Q1,2410000.0,627000.0
53,2021,Q2,2400000.0,711500.0
54,2021,Q3,2120000.0,715500.0
55,2021,Q4,2640000.0,715500.0
56,2022,Q1,2056000.0,725500.0
57,2022,Q2,2440000.0,745500.0
58,2022,Q3,2335000.0,745500.0
59,2022,Q4,2218000.0,775500.0
60,2023,Q1,1794000.0,805500.0
61,2023,Q2,2853000.0,795500.0
62,2023,Q3,2390000.0,765500.0
63,2023,Q4,0.0,415500.0
