,year,period,expenses,income
0,2008,Q1,3410000.0,170000.0
1,2008,Q2,1130000.0,120000.0
2,2008,Q3,1120000.0,150000.0
3,2008,Q4,900000.0,140000.0
4,2009,Q1,2240000.0,120000.0
5,2009,Q2,940000.0,125000.0
6,2009,Q3,930000.0,140000.0
7,2009,Q4,50000.0,110000.0
8,2010,Q1,1690000.0,120000.0
9,2010,Q2,810000.0,140000.0
10,2010,Q3,840000.0,150000.0
11,2010,Q4,1250000.0,140000.0
12,2011,Q1,1950000.0,90000.0
13,2011,Q2,930000.0,70000.0
14,2011,Q3,900000.0,145000.0
15,2011,Q4,1095000.0,130000.0
16,2012,Q1,2250000.0,160000.0
17,2012,Q2,1020000.0,130000.0
18,2012,Q3,950000.0,160000.0
19,2012,Q4,900000.0,120000.0
20,2013,Q1,1980000.0,100000.0
21,2013,Q2,1060000.0,70000.0
22,2013,Q3,1000000.0,110000.0
23,2013,Q4,870000.0,110000.0
24,2014,Q1,1670000.0,110000.0
25,2014,Q2,980000.0,110000.0
26,2014,Q3,1020000.0,130000.0
27,2014,Q4,840000.0,60000.0
28,2015,Q1,2090000.0,80000.0
29,2015,Q2,820000.0,90000.0
30,2015,Q3,760000.0,100000.0
31,2015,Q4,570000.0,60000.0
32,2016,Q1,1470000.0,90000.0
33,2016,Q2,790000.0,90000.0
34,2016,Q3,740000.0,120000.0
35,2016,Q4,880000.0,120000.0
36,2017,Q1,1310000.0,80000.0
37,2017,Q2,600000.0,80000.0
38,2017,Q3,580000.0,100000.0
39,2017,Q4,490000.0,71250.0
40,2018,Q1,860000.0,71250.0
41,2018,Q2,700000.0,71250.0
42,2018,Q3,510000.0,81250.0
43,2018,Q4,750000.0,91250.0
44,2019,Q1,820000.0,80000.0
45,2019,Q2,690000.0,130000.0
46,2019,Q3,590000.0,120000.0
47,2019,Q4,580000.0,120000.0
48,2020,Q1,580000.0,130000.0
49,2020,Q2,1320000.0,170000.0
50,2020,Q3,620000.0,180000.0
51,2020,Q4,1950000.0,140000.0
52,2021,Q1,1400000.0,200000.0
53,2021,Q2,1000000.0,130000.0
54,2021,Q3,1392703.0,170000.0
55,2021,Q4,820003.0,190000.0
56,2022,Q1,1192681.0,180000.0
57,2022,Q2,956543.0,190000.0
58,2022,Q3,919321.0,170000.0
59,2022,Q4,823229.0,160000.0
60,2023,Q1,988414.0,150000.0
61,2023,Q2,1683270.0,210000.0
62,2023,Q3,825134.0,240000.0
63,2023,Q4,0.0,30000.0
