,year,period,expenses,income
0,2008,Q1,1490000.0,324000.0
1,2008,Q2,1100000.0,321000.0
2,2008,Q3,860000.0,701000.0
3,2008,Q4,763870.0,259000.0
4,2009,Q1,1410000.0,371000.0
5,2009,Q2,880000.0,261000.0
6,2009,Q3,720000.0,261000.0
7,2009,Q4,885000.0,279000.0
8,2010,Q1,1554000.0,323000.0
9,2010,Q2,1045000.0,381000.0
10,2010,Q3,890000.0,324000.0
11,2010,Q4,810000.0,281000.0
12,2011,Q1,1020000.0,267000.0
13,2011,Q2,680000.0,265000.0
14,2011,Q3,680000.0,285000.0
15,2011,Q4,1030000.0,275000.0
16,2012,Q1,820000.0,235000.0
17,2012,Q2,770000.0,325000.0
18,2012,Q3,780000.0,305000.0
19,2012,Q4,820000.0,285000.0
20,2013,Q1,651381.0,265000.0
21,2013,Q2,788737.0,305000.0
22,2013,Q3,730000.0,275000.0
23,2013,Q4,940000.0,315000.0
24,2014,Q1,620000.0,320000.0
25,2014,Q2,620000.0,290000.0
26,2014,Q3,730000.0,300000.0
27,2014,Q4,770000.0,200000.0
28,2015,Q1,700000.0,310000.0
29,2015,Q2,830000.0,320000.0
30,2015,Q3,660000.0,310000.0
31,2015,Q4,650000.0,310000.0
32,2016,Q1,880000.0,287200.0
33,2016,Q2,820000.0,280000.0
34,2016,Q3,680000.0,290000.0
35,2016,Q4,640000.0,300000.0
36,2017,Q1,870000.0,310000.0
37,2017,Q2,850000.0,324000.0
38,2017,Q3,930000.0,304000.0
39,2017,Q4,910000.0,274000.0
40,2018,Q1,1470000.0,318000.0
41,2018,Q2,1160000.0,224000.0
42,2018,Q3,1130000.0,234000.0
43,2018,Q4,970000.0,254000.0
44,2019,Q1,980000.0,254000.0
45,2019,Q2,950000.0,230000.0
46,2019,Q3,860000.0,220000.0
47,2019,Q4,920000.0,220000.0
48,2020,Q1,1340000.0,220000.0
49,2020,Q2,730000.0,190000.0
50,2020,Q3,680000.0,180000.0
51,2020,Q4,690000.0,230000.0
52,2021,Q1,780000.0,210000.0
53,2021,Q2,730000.0,200000.0
54,2021,Q3,710000.0,210000.0
55,2021,Q4,810000.0,180000.0
56,2022,Q1,950000.0,180000.0
57,2022,Q2,750000.0,180000.0
58,2022,Q3,880000.0,180000.0
59,2022,Q4,800000.0,180000.0
60,2023,Q1,980000.0,200000.0
61,2023,Q2,3610000.0,210000.0
62,2023,Q3,2940000.0,210000.0
63,2023,Q4,0.0,50000.0
