,year,period,expenses,income
0,2014,Q2,50000.0,0.0
1,2014,Q3,50000.0,0.0
2,2014,Q4,70000.0,20000.0
3,2015,Q1,110000.0,30000.0
4,2015,Q2,110000.0,30000.0
5,2015,Q3,110000.0,30000.0
6,2015,Q4,140000.0,30000.0
7,2016,Q1,320000.0,30000.0
8,2016,Q2,310000.0,110000.0
9,2016,Q3,340000.0,170000.0
10,2016,Q4,390000.0,150000.0
11,2017,Q1,370000.0,150000.0
12,2017,Q2,430000.0,150000.0
13,2017,Q3,510000.0,240000.0
14,2017,Q4,510000.0,210000.0
15,2018,Q1,540000.0,240000.0
16,2018,Q2,600000.0,240000.0
17,2018,Q3,590000.0,260000.0
18,2018,Q4,550000.0,240000.0
19,2019,Q1,570000.0,240000.0
20,2019,Q2,690000.0,240000.0
21,2019,Q3,590000.0,240000.0
22,2019,Q4,510000.0,240000.0
23,2020,Q1,630000.0,340000.0
24,2020,Q2,570000.0,320000.0
25,2020,Q3,540000.0,400000.0
26,2020,Q4,590000.0,410000.0
27,2021,Q1,490000.0,320000.0
28,2021,Q2,450000.0,350000.0
29,2021,Q3,590000.0,350000.0
30,2021,Q4,530000.0,230000.0
31,2022,Q1,340000.0,210000.0
32,2022,Q2,550000.0,250000.0
33,2022,Q3,650000.0,250000.0
34,2022,Q4,420000.0,250000.0
35,2023,Q1,540000.0,250000.0
36,2023,Q2,680000.0,250000.0
37,2023,Q3,600000.0,250000.0
38,2023,Q4,0.0,60000.0
