,year,period,expenses,income
0,2008,Q1,1120000.0,245000.0
1,2008,Q2,1250000.0,260000.0
2,2008,Q3,970000.0,250000.0
3,2008,Q4,800000.0,290000.0
4,2009,Q1,1500000.0,240000.0
5,2009,Q2,1000000.0,240000.0
6,2009,Q3,1010000.0,310000.0
7,2009,Q4,940000.0,560000.0
8,2010,Q1,660000.0,510000.0
9,2010,Q2,650000.0,495000.0
10,2010,Q3,550000.0,510000.0
11,2010,Q4,580000.0,410000.0
12,2011,Q1,660000.0,410000.0
13,2011,Q2,860000.0,435000.0
14,2011,Q3,650000.0,405000.0
15,2011,Q4,770000.0,395000.0
16,2012,Q1,790000.0,365000.0
17,2012,Q2,680000.0,425000.0
18,2012,Q3,750000.0,330000.0
19,2012,Q4,1180000.0,330000.0
20,2013,Q1,670000.0,330000.0
21,2013,Q2,710000.0,370000.0
22,2013,Q3,640000.0,400000.0
23,2013,Q4,700000.0,410000.0
24,2014,Q1,770000.0,360000.0
25,2014,Q2,610000.0,360000.0
26,2014,Q3,560000.0,360000.0
27,2014,Q4,640000.0,380000.0
28,2015,Q1,760000.0,470000.0
29,2015,Q2,630000.0,490000.0
30,2015,Q3,590000.0,500000.0
31,2015,Q4,490000.0,440000.0
32,2016,Q1,600000.0,480000.0
33,2016,Q2,670000.0,550000.0
34,2016,Q3,610000.0,530000.0
35,2016,Q4,630000.0,440000.0
36,2017,Q1,1650000.0,510000.0
37,2017,Q2,790000.0,520000.0
38,2017,Q3,980000.0,520000.0
39,2017,Q4,920000.0,520000.0
40,2018,Q1,1020000.0,520000.0
41,2018,Q2,790000.0,450000.0
42,2018,Q3,730000.0,440000.0
43,2018,Q4,860000.0,440000.0
44,2019,Q1,960000.0,440000.0
45,2019,Q2,1020000.0,440000.0
46,2019,Q3,710000.0,440000.0
47,2019,Q4,1000000.0,440000.0
48,2020,Q1,1370000.0,490000.0
49,2020,Q2,740000.0,520000.0
50,2020,Q3,720000.0,430000.0
51,2020,Q4,950000.0,460000.0
52,2021,Q1,900000.0,520000.0
53,2021,Q2,700000.0,520000.0
54,2021,Q3,910000.0,550000.0
55,2021,Q4,1640000.0,610500.0
56,2022,Q1,1520000.0,550500.0
57,2022,Q2,1330000.0,490500.0
58,2022,Q3,1270000.0,486000.0
59,2022,Q4,1580000.0,486000.0
60,2023,Q1,3550000.0,486000.0
61,2023,Q2,2210000.0,526000.0
62,2023,Q3,1960000.0,510000.0
63,2023,Q4,0.0,120000.0
