,year,period,expenses,income
0,2008,Q1,2395889.0,353000.0
1,2008,Q2,1340894.0,333000.0
2,2008,Q3,1690507.0,353000.0
3,2008,Q4,1365357.0,283000.0
4,2009,Q1,1717108.0,297500.0
5,2009,Q2,1362458.0,297500.0
6,2009,Q3,1180604.0,297500.0
7,2009,Q4,1381053.0,210000.0
8,2010,Q1,1656471.0,310000.0
9,2010,Q2,1278307.0,290000.0
10,2010,Q3,1223591.0,290000.0
11,2010,Q4,1164723.0,240000.0
12,2011,Q1,122973.0,180000.0
13,2011,Q2,1488355.0,240000.0
14,2011,Q3,1257155.0,252500.0
15,2011,Q4,1605369.0,260000.0
16,2012,Q1,1030535.0,250000.0
17,2012,Q2,1902386.0,190000.0
18,2012,Q3,3299240.0,170000.0
19,2012,Q4,1351512.0,170000.0
20,2013,Q1,3296926.0,150000.0
21,2013,Q2,1457269.0,220000.0
22,2013,Q3,1194783.0,220000.0
23,2013,Q4,1216101.0,120000.0
24,2014,Q1,1509099.0,140000.0
25,2014,Q2,1567201.0,140000.0
26,2014,Q3,1406891.0,120000.0
27,2014,Q4,1614116.0,120000.0
28,2015,Q1,1409320.0,180000.0
29,2015,Q2,1251093.0,200000.0
30,2015,Q3,1188361.0,190000.0
31,2015,Q4,1176743.0,170000.0
32,2016,Q1,1198799.0,170000.0
33,2016,Q2,1261827.0,140000.0
34,2016,Q3,1448123.0,130000.0
35,2016,Q4,1127912.0,130000.0
36,2017,Q1,1314542.0,130000.0
37,2017,Q2,1163823.0,130000.0
38,2017,Q3,1033513.0,130000.0
39,2017,Q4,1033438.0,130000.0
40,2018,Q1,1031328.0,110000.0
41,2018,Q2,985181.0,130000.0
42,2018,Q3,1059888.0,130000.0
43,2018,Q4,1032966.0,110000.0
44,2019,Q1,1002825.0,140000.0
45,2019,Q2,834855.0,140000.0
46,2019,Q3,1062243.0,140000.0
47,2019,Q4,1081807.0,140000.0
48,2020,Q1,1174255.0,140000.0
49,2020,Q2,688503.0,140000.0
50,2020,Q3,1026531.0,140000.0
51,2020,Q4,925716.0,90000.0
52,2021,Q1,777241.0,90000.0
53,2021,Q2,842021.0,150000.0
54,2021,Q3,930599.0,150000.0
55,2021,Q4,936169.0,100000.0
56,2022,Q1,1078263.0,70000.0
57,2022,Q2,843192.0,70000.0
58,2022,Q3,913141.0,100000.0
59,2022,Q4,1122643.0,80000.0
60,2023,Q1,1078263.0,80000.0
61,2023,Q2,810000.0,80000.0
62,2023,Q3,740000.0,80000.0
