,year,period,expenses,income
0,2008,Q1,0,150000
1,2008,Q2,0,110000
2,2008,Q3,0,110000
3,2008,Q4,0,110000
4,2009,Q1,0,90000
5,2009,Q2,0,140000
6,2009,Q3,0,120000
7,2009,Q4,0,120000
8,2010,Q1,0,150000
9,2010,Q2,0,170000
10,2010,Q3,0,200000
11,2010,Q4,0,170000
12,2011,Q1,0,80000
13,2011,Q2,0,80000
14,2011,Q3,0,80000
15,2011,Q4,0,60000
16,2012,Q1,0,60000
17,2012,Q2,0,60000
18,2012,Q3,0,60000
19,2012,Q4,0,60000
20,2013,Q1,0,30000
21,2013,Q2,0,30000
22,2013,Q3,0,30000
23,2013,Q4,0,30000
24,2014,Q1,0,30000
25,2014,Q2,0,30000
26,2014,Q3,0,30000
27,2014,Q4,0,30000
28,2015,Q1,0,30000
29,2015,Q2,0,30000
30,2015,Q3,0,30000
31,2015,Q4,0,30000
32,2016,Q1,0,30000
33,2016,Q2,0,30000
34,2016,Q3,0,30000
35,2016,Q4,0,30000
36,2017,Q1,0,30000
37,2017,Q2,0,30000
38,2017,Q3,0,30000
39,2017,Q4,0,80000
40,2018,Q1,0,80000
41,2018,Q2,0,80000
42,2018,Q3,0,80000
43,2018,Q4,0,80000
44,2019,Q1,0,170000
45,2019,Q2,0,190000
46,2019,Q3,0,190000
47,2019,Q4,0,190000
48,2020,Q1,0,190000
49,2020,Q2,0,200000
50,2020,Q3,0,230000
51,2020,Q4,0,230000
52,2021,Q1,0,240000
53,2021,Q2,0,250000
54,2021,Q3,0,250000
55,2021,Q4,0,260000
56,2022,Q1,0,340000
57,2022,Q2,0,340000
58,2022,Q3,0,340000
59,2022,Q4,0,340000
60,2023,Q1,0,340000
61,2023,Q2,0,330000
62,2023,Q3,0,360000
63,2023,Q4,0,80000
