,year,period,expenses,income
0,2008,Q1,640000.0,0.0
1,2008,Q2,530000.0,0.0
2,2008,Q3,515740.0,0.0
3,2008,Q4,580000.0,0.0
4,2009,Q1,700000.0,0.0
5,2009,Q2,690000.0,0.0
6,2009,Q3,670000.0,30000.0
7,2009,Q4,820000.0,40000.0
8,2010,Q1,1020000.0,10000.0
9,2010,Q2,1290000.0,100000.0
10,2010,Q3,1180000.0,50000.0
11,2010,Q4,1920000.0,30000.0
12,2011,Q1,1940000.0,45000.0
13,2011,Q2,1870000.0,70000.0
14,2011,Q3,1970000.0,30000.0
15,2011,Q4,1930000.0,30000.0
16,2012,Q1,1940000.0,30000.0
17,2012,Q2,1850000.0,30000.0
18,2012,Q3,1500000.0,30000.0
19,2012,Q4,1500000.0,30000.0
20,2013,Q1,1450000.0,30000.0
21,2013,Q2,1430000.0,30000.0
22,2013,Q3,1560000.0,30000.0
23,2013,Q4,1560000.0,30000.0
24,2014,Q1,1570000.0,30000.0
25,2014,Q2,1600000.0,30000.0
26,2014,Q3,1580000.0,30000.0
27,2014,Q4,1650000.0,30000.0
28,2015,Q1,1580000.0,30000.0
29,2015,Q2,1570000.0,30000.0
30,2015,Q3,1580000.0,30000.0
31,2015,Q4,1660000.0,30000.0
32,2016,Q1,1310000.0,30000.0
33,2016,Q2,1120000.0,30000.0
34,2016,Q3,1090000.0,30000.0
35,2016,Q4,1190000.0,30000.0
36,2017,Q1,910000.0,30000.0
37,2017,Q2,750000.0,30000.0
38,2017,Q3,860000.0,30000.0
39,2017,Q4,830000.0,0.0
40,2018,Q1,670000.0,20000.0
41,2018,Q2,860000.0,140000.0
42,2018,Q3,1020000.0,160000.0
43,2018,Q4,1280000.0,140000.0
44,2019,Q1,1200000.0,160000.0
45,2019,Q2,1250000.0,190000.0
46,2019,Q3,1310000.0,270000.0
47,2019,Q4,1250000.0,270000.0
48,2020,Q1,1210000.0,270000.0
49,2020,Q2,1160000.0,270000.0
50,2020,Q3,1050000.0,270000.0
51,2020,Q4,1010000.0,270000.0
52,2021,Q1,940000.0,250000.0
53,2021,Q2,920000.0,260000.0
54,2021,Q3,970000.0,275000.0
55,2021,Q4,980000.0,275000.0
56,2022,Q1,1000000.0,270000.0
57,2022,Q2,1000000.0,250000.0
58,2022,Q3,1000000.0,260000.0
59,2022,Q4,1010000.0,260000.0
60,2023,Q1,1030000.0,260000.0
61,2023,Q2,1060000.0,260000.0
62,2023,Q3,1100000.0,230000.0
63,2023,Q4,0.0,130000.0
