,year,period,expenses,income
0,2008,Q1,2200000.0,350000.0
1,2008,Q2,1380000.0,395000.0
2,2008,Q3,1540000.0,355000.0
3,2008,Q4,1370000.0,310000.0
4,2009,Q1,1522308.77,260000.0
5,2009,Q2,2580000.0,340000.0
6,2009,Q3,1620000.0,490000.0
7,2009,Q4,1580000.0,490000.0
8,2010,Q1,1930000.0,510000.0
9,2010,Q2,1430000.0,530000.0
10,2010,Q3,1190000.0,520000.0
11,2010,Q4,1390000.0,720000.0
12,2011,Q1,2390000.0,710000.0
13,2011,Q2,1490000.0,660000.0
14,2011,Q3,1490000.0,740000.0
15,2011,Q4,2290000.0,760000.0
16,2012,Q1,1510000.0,660000.0
17,2012,Q2,1490000.0,630000.0
18,2012,Q3,1650000.0,630000.0
19,2012,Q4,1480000.0,630000.0
20,2013,Q1,1840000.0,510000.0
21,2013,Q2,1970000.0,640000.0
22,2013,Q3,1500000.0,620000.0
23,2013,Q4,1950000.0,560000.0
24,2014,Q1,1840000.0,670000.0
25,2014,Q2,1870000.0,700000.0
26,2014,Q3,1510000.0,700000.0
27,2014,Q4,1780000.0,740000.0
28,2015,Q1,2040000.0,720000.0
29,2015,Q2,1470000.0,730000.0
30,2015,Q3,1690000.0,730000.0
31,2015,Q4,1490000.0,735000.0
32,2016,Q1,2010000.0,635000.0
33,2016,Q2,1560000.0,655000.0
34,2016,Q3,1470000.0,670000.0
35,2016,Q4,1760000.0,670000.0
36,2017,Q1,2150000.0,730000.0
37,2017,Q2,1470000.0,690000.0
38,2017,Q3,1380000.0,700000.0
39,2017,Q4,1880000.0,610000.0
40,2018,Q1,1840000.0,640000.0
41,2018,Q2,1560000.0,610000.0
42,2018,Q3,1380000.0,620000.0
43,2018,Q4,1310000.0,630000.0
44,2019,Q1,1820000.0,610000.0
45,2019,Q2,1460000.0,620000.0
46,2019,Q3,1400000.0,620000.0
47,2019,Q4,1670000.0,630000.0
48,2020,Q1,1830000.0,640000.0
49,2020,Q2,1480000.0,660000.0
50,2020,Q3,1530000.0,660000.0
51,2020,Q4,1560000.0,600000.0
52,2021,Q1,2190000.0,630000.0
53,2021,Q2,1370000.0,630000.0
54,2021,Q3,1270000.0,630000.0
55,2021,Q4,2170000.0,630000.0
56,2022,Q1,1640000.0,630000.0
57,2022,Q2,1380000.0,640000.0
58,2022,Q3,1380000.0,640000.0
59,2022,Q4,1370000.0,640000.0
60,2023,Q1,2270000.0,640000.0
61,2023,Q2,1620000.0,690000.0
62,2023,Q3,1630000.0,690000.0
63,2023,Q4,0.0,380000.0
