,year,period,expenses,income
0,2008,Q1,3050000.0,360000.0
1,2008,Q2,5080000.0,390000.0
2,2008,Q3,9750000.0,420000.0
3,2008,Q4,7510000.0,410000.0
4,2009,Q1,9320000.0,430000.0
5,2009,Q2,4270000.0,447500.0
6,2009,Q3,7160000.0,427500.0
7,2009,Q4,6680000.0,367500.0
8,2010,Q1,3390000.0,367500.0
9,2010,Q2,2520000.0,332500.0
10,2010,Q3,4070000.0,327500.0
11,2010,Q4,2420000.0,327500.0
12,2011,Q1,3010000.0,367500.0
13,2011,Q2,3810000.0,337500.0
14,2011,Q3,3210000.0,367500.0
15,2011,Q4,2700000.0,317500.0
16,2012,Q1,4170000.0,317500.0
17,2012,Q2,2770000.0,367500.0
18,2012,Q3,2930000.0,377500.0
19,2012,Q4,3100000.0,367500.0
20,2013,Q1,4840000.0,437500.0
21,2013,Q2,3060000.0,407500.0
22,2013,Q3,2730000.0,289500.0
23,2013,Q4,2790000.0,255500.0
24,2014,Q1,3180000.0,287500.0
25,2014,Q2,2870000.0,252500.0
26,2014,Q3,3160000.0,245000.0
27,2014,Q4,3440000.0,285000.0
28,2015,Q1,3170000.0,248500.0
29,2015,Q2,2460000.0,210000.0
30,2015,Q3,3560000.0,200000.0
31,2015,Q4,2790000.0,215000.0
32,2016,Q1,3280000.0,162500.0
33,2016,Q2,2460000.0,110000.0
34,2016,Q3,3100000.0,150000.0
35,2016,Q4,3000000.0,160000.0
36,2017,Q1,3440000.0,150000.0
37,2017,Q2,2630000.0,180000.0
38,2017,Q3,2630000.0,140000.0
39,2017,Q4,2690000.0,120000.0
40,2018,Q1,3140000.0,150000.0
41,2018,Q2,2730000.0,180000.0
42,2018,Q3,2190000.0,160000.0
43,2018,Q4,3090000.0,150000.0
44,2019,Q1,2710000.0,140000.0
45,2019,Q2,2450000.0,140000.0
46,2019,Q3,1940000.0,90000.0
47,2019,Q4,2650000.0,150000.0
48,2020,Q1,2670000.0,100000.0
49,2020,Q2,1760000.0,70000.0
50,2020,Q3,2120000.0,50000.0
51,2020,Q4,2140000.0,60000.0
52,2021,Q1,1600000.0,50000.0
53,2021,Q2,1170000.0,70000.0
54,2021,Q3,1660000.0,110000.0
55,2021,Q4,2390000.0,100000.0
56,2022,Q1,2050000.0,100000.0
57,2022,Q2,1670000.0,130000.0
58,2022,Q3,1710000.0,160000.0
59,2022,Q4,2310000.0,180000.0
60,2023,Q1,1600000.0,220000.0
61,2023,Q2,0.0,200000.0
62,2023,Q3,1500000.0,170000.0
63,2023,Q4,0.0,120000.0
